Ticket_ID,Open_Time,First_Response_Time,Close_Time,Agent,CSAT,NPS,Escalated,Resolved_On_First_Contact,Response_Time,Handling_Time,CSAT_Category,NPS_Category
TCKT1,2024-10-09,2024-10-04 08:00:00,2024-09-22 20:00:00,Alice,4,8,0,1,-112.0,-388.0,Good,Passives
TCKT2,2024-10-22,2024-10-09 02:00:00,2024-10-26 21:00:00,Charlie,4,1,1,0,-310.0,117.0,Good,Detractors
TCKT3,2024-09-29,2024-10-24 22:00:00,2024-09-27 04:00:00,Alice,2,1,1,1,622.0,-44.0,Poor,Detractors
TCKT4,2024-09-15,2024-09-03 18:00:00,2024-10-05 20:00:00,David,3,6,0,0,-270.0,500.0,Fair,Detractors
TCKT5,2024-10-13,2024-09-12 01:00:00,2024-10-19 18:00:00,Eve,1,10,1,1,-743.0,162.0,Poor,Promoters
TCKT6,2024-09-08,2024-10-24 12:00:00,2024-10-11 03:00:00,Charlie,5,1,0,0,1116.0,795.0,Excellent,Detractors
TCKT7,2024-09-21,2024-09-05 17:00:00,2024-10-12 20:00:00,Charlie,3,6,1,1,-367.0,524.0,Fair,Detractors
TCKT8,2024-10-09,2024-10-18 15:00:00,2024-09-30 06:00:00,Bob,2,1,0,1,231.0,-210.0,Poor,Detractors
TCKT9,2024-10-28,2024-09-23 15:00:00,2024-10-13 21:00:00,David,3,6,1,1,-825.0,-339.0,Fair,Detractors
TCKT10,2024-09-19,2024-10-07 21:00:00,2024-10-13 13:00:00,Bob,3,3,0,0,453.0,589.0,Fair,Detractors
TCKT11,2024-09-23,2024-09-14 02:00:00,2024-10-20 09:00:00,Alice,2,8,0,0,-214.0,657.0,Poor,Passives
TCKT12,2024-09-11,2024-09-11 19:00:00,2024-09-18 09:00:00,Bob,4,6,1,0,19.0,177.0,Good,Detractors
TCKT13,2024-09-11,2024-10-09 06:00:00,2024-10-12 01:00:00,Eve,4,1,1,0,678.0,745.0,Good,Detractors
TCKT14,2024-09-24,2024-10-30 02:00:00,2024-09-03 16:00:00,Alice,1,5,0,1,866.0,-488.0,Poor,Detractors
TCKT15,2024-10-23,2024-10-08 18:00:00,2024-09-30 01:00:00,Charlie,1,8,1,1,-342.0,-551.0,Poor,Passives
TCKT16,2024-10-06,2024-10-04 18:00:00,2024-09-11 18:00:00,David,4,3,1,1,-30.0,-582.0,Good,Detractors
TCKT17,2024-10-10,2024-09-30 15:00:00,2024-10-29 08:00:00,Charlie,5,6,1,1,-225.0,464.0,Excellent,Detractors
TCKT18,2024-09-24,2024-09-27 19:00:00,2024-09-22 11:00:00,Charlie,3,5,1,1,91.0,-37.0,Fair,Detractors
TCKT19,2024-09-03,2024-10-04 20:00:00,2024-10-26 02:00:00,Eve,5,6,0,0,764.0,1274.0,Excellent,Detractors
TCKT20,2024-09-22,2024-10-27 06:00:00,2024-09-09 22:00:00,David,3,10,0,0,846.0,-290.0,Fair,Promoters
TCKT21,2024-10-23,2024-10-03 15:00:00,2024-09-09 17:00:00,Bob,4,1,1,0,-465.0,-1039.0,Good,Detractors
